,Words,Frequency
1569,установок,27
1570,рентгенаппаратов,16
1571,узи,93
1572,экспертного,88
1573,класса,120
1574,доступна,280
1575,радиоизотопная,14
1576,диагностика,770
1577,пэт-кт,12
1578,офэкт-кт,8
1579,момента,504
1580,подтверждения,468
1581,диагноза,848
1582,среднем,1442
1583,недели,798
1584,счет,368
1585,городского,70
1586,региональной,72
1587,льготы,24
1588,обеспечивается,98
1589,лекарственное,195
1590,числе,1460
1591,таргетная,63
1592,входящая,8
1593,базовую,42
1594,программу,414
1595,омс,207
1596,назначаются,154
1597,эффективные,297
1598,позволяющие,165
1599,точечно,14
1600,избегать,424
1601,побочных,520
1602,эффектов,656
1603,отметить,256
1604,платформе,36
1605,вся,72
1606,информация,960
1607,загружаются,11
1608,электронную,66
1609,карту,55
1610,специалистам,252
1611,видеть,144
1612,всю,258
1613,информацию,1620
1614,протяжении,460
1615,московское,60
1616,онкологическое,266
1617,общество,192
1618,объединившее,12
1619,усилия,162
1620,стремлении,20
1621,повышать,176
1622,использованием,756
1623,лучших,114
1624,мировых,77
1625,практик,63
1626,прошлом,504
1627,инициативе,120
1628,начались,184
1629,наблюдательные,98
1630,формирование,144
1631,базы,140
1632,применения,840
1633,четырём,7
1634,нозологиям,40
1635,лёгкого,14
1636,почки,185
1637,предстательной,280
1638,форум-2023,10
1639,словам,1494
1640,анастасии,27
1641,раковой,70
1642,столичные,27
1643,готовы,204
1644,делиться,80
1645,знаниями,80
1646,обсуждать,81
1647,идеи,80
1648,треки,5
1649,профессионалами,30
1650,пациентами,1090
1651,московский,120
1652,онкологический,238
1653,площадка,16
1654,дискуссий,45
1655,открытого,45
1656,диалога,7
1657,идей,32
1658,практических,84
1659,разработок,60
1660,девиз,15
1661,форума,72
1662,гостином,8
1663,дворе,5
1664,делимся,21
1665,опытом,132
1666,создаем,7
1667,будущее,168
1668,продлеваем,10
1669,жизнь,840
1670,масштабным,20
1671,площадках,9
1672,выступают,99
1673,мира,416
1674,спикеров,16
1675,ведущие,126
1676,отечественные,208
1677,специалисты,2717
1678,казахстана,70
1679,германии,416
1680,испании,259
1681,сербии,6
1682,франции,350
1683,италии,348
1684,индии,150
1685,стран,1095
1686,полях,15
1687,интерактивная,13
1688,выставка,24
1689,мастер-классы,117
1690,живой,85
1691,хирургией,9
1692,демонстрацией,13
1693,прямом,24
1694,эфире,55
1695,завершающий,11
1696,работы,1560
1697,площадки,32
1698,открыты,35
1699,представителей,266
1700,сообществ,81
1701,близких,357
1702,участники,1287
1703,гости,35
1704,обсуждают,45
1705,профильные,30
1706,инноваций,27
1707,практику,224
1708,знакомятся,20
1709,презентацией,12
1710,уникального,44
1711,опыта,95
1712,мегаполисе,20
1713,интерактивной,13
1714,выставкой,9
1715,обмениваются,72
1716,российскими,121
1717,зарубежными,143
1718,коллегами,261
1719,смежных,14
1720,отраслей,24
1721,осветить,8
1722,междисциплинарную,17
1723,проблематику,12
1724,онкопациентов,156
1725,нейрохирургия,13
1726,офтальмология,13
1727,педиатрия,18
1728,онкогематология,30
1729,конкурс,21
1730,молодых,693
1731,котором,1330
1732,отечественной,182
1733,представляет,732
1734,своих,725
1735,научному,24
1736,сообществу,60
1737,экспертную,150
1738,включает,344
1739,экспертных,20
